wavelength,B_442,B_492,B_559,B_665,B_704,B_739,B_780,B_835,B_864,B_943,B_1375,B_1611,B_2184
508.0,,0.892251,,,,,,,,,,,
509.0,,0.890061,,,,,,,,,,,
510.0,,0.891852,,,,,,,,,,,
511.0,,0.899165,,,,,,,,,,,
512.0,,0.910901,,,,,,,,,,,
513.0,,0.924636,,,,,,,,,,,
514.0,,0.938626,,,,,,,,,,,
515.0,,0.953527,,,,,,,,,,,
516.0,,0.971831,,,,,,,,,,,
517.0,,0.987691,,,,,,,,,,,
518.0,,0.996791,,,,,,,,,,,
519.0,,0.993852,,,,,,,,,,,
520.0,,0.981638,,,,,,,,,,,
521.0,,0.95897,,,,,,,,,,,
522.0,,0.893259,,,,,,,,,,,
523.0,,0.736064,,,,,,,,,,,
524.0,,0.521015,,,,,,,,,,,
525.0,,0.332579,,,,,,,,,,,
526.0,,0.19508,,,,,,,,,,,
527.0,,0.117429,,,,,,,,,,,
528.0,,0.0751388,,,,,,,,,,,
529.0,,0.050992,,,,,,,,,,,
530.0,,0.0321548,,,,,,,,,,,
531.0,,0.0151342,,,,,,,,,,,
532.0,,0.00447717,,,,,,,,,,,
533.0,,,,,,,,,,,,,
534.0,,,,,,,,,,,,,
535.0,,,,,,,,,,,,,
536.0,,,0.00184908,,,,,,,,,,
537.0,,,0.0154813,,,,,,,,,,
538.0,,,0.0366619,,,,,,,,,,
539.0,,,0.0811813,,,,,,,,,,
540.0,,,0.169522,,,,,,,,,,
541.0,,,0.333499,,,,,,,,,,
542.0,,,0.587551,,,,,,,,,,
543.0,,,0.810898,,,,,,,,,,
544.0,,,0.914487,,,,,,,,,,
545.0,,,0.94552,,,,,,,,,,
546.0,,,0.949175,,,,,,,,,,
547.0,,,0.943502,,,,,,,,,,
548.0,,,0.928333,,,,,,,,,,
549.0,,,0.91282,,,,,,,,,,
550.0,,,0.901483,,,,,,,,,,
551.0,,,0.900859,,,,,,,,,,
552.0,,,0.907289,,,,,,,,,,
553.0,,,0.922649,,,,,,,,,,
554.0,,,0.942932,,,,,,,,,,
555.0,,,0.964025,,,,,,,,,,
556.0,,,0.98347,,,,,,,,,,
557.0,,,0.999447,,,,,,,,,,
558.0,,,1.0,,,,,,,,,,
559.0,,,0.991956,,,,,,,,,,
560.0,,,0.976583,,,,,,,,,,
561.0,,,0.951152,,,,,,,,,,
562.0,,,0.924621,,,,,,,,,,
563.0,,,0.891852,,,,,,,,,,
564.0,,,0.868158,,,,,,,,,,
565.0,,,0.847608,,,,,,,,,,
566.0,,,0.839209,,,,,,,,,,
567.0,,,0.832981,,,,,,,,,,
568.0,,,0.830821,,,,,,,,,,
569.0,,,0.835211,,,,,,,,,,
570.0,,,0.848757,,,,,,,,,,
571.0,,,0.866564,,,,,,,,,,
572.0,,,0.875196,,,,,,,,,,
573.0,,,0.870378,,,,,,,,,,
574.0,,,0.857257,,,,,,,,,,
575.0,,,0.80975,,,,,,,,,,
576.0,,,0.677464,,,,,,,,,,
577.0,,,0.456508,,,,,,,,,,
578.0,,,0.247692,,,,,,,,,,
579.0,,,0.127866,,,,,,,,,,
